name,affil,last
Diana Dragomir,MIT,Dragomir
Jeremy Drake,Smithsonian Astrophysical Observatory,Drake
Dainis Dravins,"Lund Observatory, Sweden",Dravins
Courtney Dressing,"University of California, Berkeley",Dressing
Salam Dulaimi,"Centre For Astronomy, National University Of Ireland-Galway, Galway, Ireland",Dulaimi
Xavier Dumusque,Observatory of Geneva,Dumusque
Andrea Dupree,CFA/SAO,Dupree
Trent Dupuy,Gemini North,Dupuy
Girish M. Duvvuri,University of Colorado - Boulder,Duvvuri
Elena González Egea,University of Hertfordshire,Egea
Ricky Egeland,High Altitude Observatory at NCAR,Egeland
Scott Engle,Villanova University,Engle
Simon Eriksson,"Stockholm University, Department of Astronomy",Eriksson
Catherine Espaillat,Boston University,Espaillat
Rebecca Esselstein,University of Oxford,Esselstein
Tom Evans,University of Exeter,Evans
Nancy Evans,Smithsoninan Astrophysical Observatory,Evans
Dag Evensberget,University of Southern Queensland,Evensberget
Yuichiro Ezoe,Tokyo Metropolitan University,Ezoe
Rana Ezzeddine,MIT,Ezzeddine
Samuel Factor,The University of Texas at Austin,Factor
Jackie Faherty,American Museum of Natural History,Faherty
Gregory Feiden,University of North Georgia,Feiden
Francis Fekel,Tennessee State University,Fekel
Adam Finley,University of Exeter,Finley
Dúalta Ó Fionnagáin,Trinity College Dublin,Fionnagáin
Laura Flagg,Rice University,Flagg
David Fleming,"University of Washington, Seattle",Fleming
Becky Flores,MIT/CSUN,Flores
Katherine Follette,Amherst College,Follette
Clémence Fontanive,"Institute for Astronomy, University of Edinburgh",Fontanive
Jan Forbrich,University of Hertfordshire,Forbrich
Jonathan Foster,WarnerMedia Applied Analytics,Foster
Peter Foukal,None,Foukal
Pascal Fouqué,CFHT,Fouqué
Juris Freimanis,Ventspils University College,Freimanis
Malcolm Fridlund,Leiden Observatory/Onsala Space Observatory,Fridlund
Cynthia Froning,UT Austin,Froning
Daniella Bardalez Gagliuffi,American Museum of Natural History,Gagliuffi
Jonathan Gagné,"iREx, Université de Montréal",Gagn\'e
Cecilia Garraffo,Harvard-Smithsonian Center for Astrophysics,Garraffo
Bartosz Gauza,"DAS, Universidad de Chile",Gauza
Christopher Gelino,Caltech/IPAC-NExScI,Gelino
Dawn Gelino,Caltech/IPAC-NExScI,Gelino
Jeffrey Gerber,Indiana University,Gerber
Sarah Gettel,affil here,Gettel
Luan Ghezzi,Observatorio Nacional,Ghezzi
Supriyo Ghosh,S. N. Bose National Centre for Basic Sciences,Ghosh
Mark Giampapa,National Solar Observatory,Giampapa
Rose Gibson,Columbia University/AMNH,Gibson
Douglas Gies,Georgia State University,Gies
Helen Giles,Observatoire de Genève,Giles
Samuel Gill,Keele University,Gill
Edward Gillen,University of Cambridge,Gillen
John Gizis,University of Delaware,Gizis
Lindsay Glesener,University of Minnesota,Glesener
Paige Godfrey,Slooh,Godfrey
Alvaro Ribas Gomez,Boston University,Gomez
Philippe Gondoin,ESA,Gondoin
Eileen Gonzales,"CUNY Graduate Center, AMNH, Hunter",Gonzales
Erica Gonzales,UC Santa Cruz,Gonzales
Jonay Gonzalez-Hernandez,Instituto de Astrofisica de Canarias,Gonzalez-Hernandez
Natalie Gosnell,Colorado College,Gosnell
Carol Grady,Eureka Scientific,Grady
Sophie Graf,Los Alamos National Laboratory,Graf
Sierra Grant,Boston University,Grant
Samuel Grant,Queens University Belfast,Grant
Jennifer Greco,University of Toledo,Greco
Paul Green,SAO,Green
Alexandra Greenbaum,University of Michigan,Greenbaum
Lisa Grossman,Science News,Grossman
Natalia Guerrero,MIT,Guerrero
Carlos Cardona Guillén,Instituto de Astrofísica de Canarias (IAC),Guillén
Michael Gully-Santiago,Kepler/K2 GO Office,Gully-Santiago
Xueying Guo,MIT,Guo
H. Moritz Günther,MIT,Günther
Jeffrey Hall,Lowell Observatory,Hall
Jessica Hamilton,University of North Georgia,Hamilton
Eunkyu Han,Boston University,Han
Rebecca Hanuszak,MCCC,Hanuszak
Kevin Hardegree-Ullman,Caltech/IPAC-NExScI,Hardegree-Ullman
Zachary Hartman,Georgia State University,Hartman
Lee Hartmann,University of Michigan,Hartmann
Raphaëlle Haywood,Harvard College Observatory,Haywood
Leslie Hebb,Hobart and William Smith Colleges,Hebb
Ulrike Heiter,Uppsala University,Heiter
Neda Hejazi,Georgia State University,Hejazi
Saskia Hekker,Max Planck Institute for Solar system research,Hekker
Rene Heller,Max Planck Institute for Solar System Research,Heller
Peggy Herlihy,Smithsonian Astrophysical Obs,Herlihy
JJ Hermes,University of North Carolina at Chapel Hill,Hermes
Colin Hill,IRAP / Universite de Toulouse,Hill
Sasha Hinkley,University of Exeter,Hinkley
Derek Homeier,"Landessternwarte, Zentrum fuer Astronomie Heidelberg",Homeier
Callie Hood,UC Santa Cruz,Hood
Ward Howard,University of North Carolina at Chapel Hill,Howard
Dino Chih-Chun Hsu,UC San Diego,Hsu
David Huenemoerder,MIT,Huenemoerder
James Hughes,University of Southern Queensland,Hughes
Anna Hughes,University of British Columbia,Hughes
Jenine Humber,SAO,Humber
Gaitee Hussain,ESO,Hussain
Ekaterina ILIN,Leibniz Institute for Astrophysics Potsdam,ILIN
Hiroyuki Tako ISHIKAWA,SOKENDAI (NAOJ),ISHIKAWA
Luci Ibarra,University of Colorado Boulder,Ibarra
Kai Ikuta,Kyoto University,Ikuta
Jonathan Irwin,Smithsonian Astrophysical Observatory,Irwin
Emre Isik,Max Planck Institute for Solar System Research,Isik
Patryk Iwanek,Warsaw University Observatory,Iwanek
Silva Järvinen,"AIP, Germany",J\”arvinen
James Jackman,University of Warwick,Jackman
Richard Jackson,Keele University,Jackson
Kenneth Janes,Boston University,Janes
Wei-Chun Jao,Georgia State University,Jao
Moira Jardine,University of St Andrews,Jardine
Rob Jeffries,Keele University,Jeffries
Paula Jofre,Universidad Diego Portales,Jofre
Christopher Johns-krull,Rice University,Johns-krull
Jay Johnson,Andrews University,Johnson
Luke Johnson,Imperial College London,Johnson
Meridith Joyce,Dartmouth/SAAO,Joyce
Melodie Kao,Arizona State University,Kao
Subhajeet Karmakar,Aryabhatta Research Institute of Observational Sciences (ARIES),Karmakar
Nishu Karna,CfA,Karna
Vinay Kashyap,Harvard-Smithsonian Center for Astrophysics,Kashyap
Joel Kastner,Rochester Institute of Technology,Kastner
Aurora Kesseli,Boston University,Kesseli
J. Serena Kim,Steward Observatory/Univ. Arizona,Kim
Bokyoung Kim,Georgia State University,Kim
Rocio Kiman,CUNY Graduate Center,Kiman
Mary Knapp,Massachusetts Institute of Technology,Knapp
Yohei Koizumi,Tokyo Institute of Technology,Koizumi
Lena Komarova,Smith College,Komarova
Heidi Korhonen,"DARK, Niels Bohr Institute",Korhonen
Sylvain G. Korzennik,CfA,Korzennik
Molly Kosiarek,UC Santa Cruz,Kosiarek
Nadiia Kostogryz,"MPS, Germany",Kostogryz
Marina Kounkel,Western Washington University,Kounkel
Adam Kowalski,University of Colorado/NSO,Kowalski
Thea Kozakis,"Carl Sagan Institute, Cornell University",Kozakis
Kathleen Kraemer,Boston College,Kraemer
Adam Kraus,UT-Austin,Kraus
Danny Krolikowski,University of Texas at Austin​​,Krolikowski
Jeff Kuhn,"Institute for Astronomy, University of Hawaii",Kuhn
Agnes Kóspál,Konkoly Observatory,Kóspál
Nadège Lagarde,Institut UTINAM Observatoire de Besançon,Lagarde
Nicholas Langellier,Harvard University - Department of Physics,Langellier
Alessandro Lanzafame,Universita di Catania,Lanzafame
David Latham,CfA,Latham
Patrick Latimer,University of New Mexico,Latimer
Alexis Lavail,Uppsala University,Lavail
Lisa Lehmann,University of St Andrews,Lehmann
Jyri Lehtinen,Max Planck Institute for Solar System Research,Lehtinen
John Lewis,Harvard College Obs.,Lewis
Megan Lewis,University of New Mexico,Lewis
Sofie Liljegren,Uppsala University,Liljegren
Russell Van Linge,UC San Diego,Linge
Jeffrey Linsky,University of Colorado,Linsky
Carey Lisse,Johns Hopkins University Applied Physics Lab,Lisse
Stuart Littlefair,University of Sheffield,Littlefair
Fan Liu,Lund University,Liu
Michael Liu,"Univ. of Hawaii, Institute for Astronomy",Liu
Joe Llama,Lowell Observatory,Llama
Nicolas Lodieu,"IAC, Tenerife",Lodieu
Kaitlyn Loftus,Harvard University,Loftus
William Longley,Boston University,Longley
Diego Lorenzo-Oliveira,Universidade de São Paulo,Lorenzo-Oliveira
Parke Loyd,ASU,Loyd
Jacob Luhn,Penn State University,Luhn
Sébastien Lépine,Georgia State University,L{\'e}pine
Zachary Maas,Indiana University,Maas
Meredith MacGregor,Carnegie DTM,MacGregor
Hiroyuki Maehara,Kyoto University,Maehara
Eric Mamajek,JPL/Caltech,Mamajek
Emilio Marfil,Universidad Complutense de Madrid,Marfil
Mark Marley,NASA Ames Research Center,Marley
Federico Marocco,JPL,Marocco
Stephen Marsden,University of Southern Queensland,Marsden
Raquel Martinez,The University of Texas at Austin,Martinez
Alejandro Suárez Mascareño,Observatoire de Geneve,Mascareño
James Paul Mason,NASA Goddard Space Flight Center,Mason
Savita Mathur,Instituto de Astrofisica de Canarias,Mathur
Loren Matilsky,"JILA, University of Colorado Boulder",Matilsky
Tadafumi Matsuno,Sokendai / NAOJ,Matsuno
Sean Matt,University of Exeter,Matt
Lynn Matthews,MIT Haystack Observatory,Matthews
Pierre Maxted,Keele University,Maxted
Laura Mayorga,Harvard-Smithsonian Center for Astrophysics,Mayorga
Tsevi Mazeh,Tel Aviv University,Mazeh
Jean Mckeever,Yale University,Mckeever
Amber Medina,Havard Smithsonian Center for Astrophysics,Medina
Fabian Menezes,Universidade Presbiteriana Mackenzie,Menezes
Travis Metcalfe,Space Science Institute / MPS,Metcalfe
Stanimir Metchev,University of Western Ontario,Metchev
Nadège Meunier,CNRS/IPAG/Université Grenoble Alpes,Meunier
Michael Meyer,University of Michigan,Meyer
Timothy Milbourne,Harvard University,Milbourne
Brittany Miles,UC Santa Cruz,Miles
Drew Miles,Penn State University,Miles
Paulo Miles-Páez,University of Western Ontario,Miles-Páez
Ivan Milic,MPI for Solar System Research,Milic
Momchil Molnar,University of Colorado,Molnar
Pilar Montanes-Rodriguez,Instituto de Astrofisica de Canarias,Montanes-Rodriguez
David Montes,UCM - Dpto Astrofsica,Montes
Benjamin Montet,University of Chicago,Montet
Christopher Moore,Harvard-Smithsonian Center for Astrophysics,Moore
Giuseppe Morello,CEA,Morello
Julien Morin,LUPM - Univ. Montpellier,Morin
Caroline Morley,University of Texas at Austin,Morley
Samuel Morrell,University of Exeter,Morrell
Brett Morris,University of Washington,Morris
Nancy Morrison,University of Toledo,Morrison
Sofia Moschou,Harvard-Smithsonian Center for Astrophysics,Moschou
Andres Moya,University of Birmingham,Moya
Phil Muirhead,Boston University,Muirhead
Simon Murphy,University of New South Wales Canberra,Murphy
Robert Mutel,University of Iowa,Mutel
Hans Müller,Dartmouth College,Müller
Kosuke Namekata,Kyoto University,Namekata
Jose-dias Do Nascimento,SAO-CfA Harvard and UFRN,Nascimento
Harold Nations,College of Southern Nevada,Nations
James Neff,National Science Foundation,Neff
Elisabeth  Newton,MIT,Newton
Henry Ngo,NRC Herzberg,Ngo
Belinda Nicholson,University of Southern Queensland,Nicholson
Martin Nielsen,New York University Abu Dhabi,Nielsen
Yuta Notsu,Kyoto University,Notsu
Alejandro Núñez,Columbia University,Núñez
Takayoshi Oba,JAXA,Oba
Masashi Omiya,Astrobiology center/NINS,Omiya
Rebecca Oppenheimer,American Museum of Natural History,Oppenheimer}}
Jerome Orosz,San Diego State University,Orosz
Rachel Osten,"Space Telescope Science Institute, JHU",Osten
Enric Palle,Instituto de Astrofisica de Canarias,Palle
Mayukh Panja,Max Planck Institute for Solar Sytem Research,Panja
Richard Parker,"University of Sheffield, UK",Parker
Vera Maria Passegger,Sternwarte Hamburg,Passegger
Rishi Paudel,University of Delaware,Paudel
Michal Pawlak,Charles University in Prague,Pawlak
Sarah Peacock,"University of Arizona, Lunar and Planetary Lab",Peacock
